Date,Title,Tag,Sentiment_manual,Comment
2019-10-14,"Sentencia procés y protestas en Cataluña",BANK_ES,-0.4,"Ruido político; IBEX plano/negativo."
2019-11-10,"Elecciones España (repetición)",BANK_ES,-0.2,"Persisten pactos complejos."
2019-12-13,"Acuerdo fase 1 EE.UU.–China",BANK_ES,0.4,"Alivio comercial; risk-on de fin de año."
2019-12-12,"Johnson gana con mayoría (Brexit claro)",BANK_ES,0.3,"Menor incertidumbre RU; SAN gana visibilidad."
2020-01-03,"EE.UU. mata a Soleimani; tensión Irán–EE.UU.",BANK_ES,-0.4,"Geopolítica eleva petróleo/volatilidad."
2020-01-31,"Brexit efectivo (periodo transición)",BANK_ES,0.0,"Impacto contenido; rutas claras."
2020-02-24,"COVID-19 se extiende en Europa; ventas fuertes",BANK_ES,-1.0,"Shock sanitario; derrumbe inicial de mercados."
2020-03-08,"Guerra de precios del petróleo (Arabia–Rusia)",BANK_ES,-0.8,"Colapso del crudo; riesgo crédito energía."
2020-03-12,"IBEX -14% en un día (pánico)",BANK_ES,-1.0,"Uno de los peores días históricos en España."
2020-03-14,"España decreta estado de alarma (confinamiento)",BANK_ES,-0.9,"Parón económico; provisiones en banca."
2020-03-18,"BCE lanza PEPP (750.000 M€)",BANK_ES,0.7,"Cortafuegos de deuda y liquidez."
2020-03-23,"Fed abre bazooka de liquidez (QE ilimitado)",BANK_ES,0.6,"Apoyo global a activos de riesgo."
2020-04-15,"BCE presiona a bancos a suspender dividendos",BANK_ES,-0.6,"Protección de capital; castigo en cotizaciones."
2020-05-18,"Plan franco-alemán para fondo de recuperación UE",BANK_ES,0.5,"Señal política muy positiva para eurozona."
2020-06-05,"Reaperturas graduales; mejora PMI",BANK_ES,0.4,"Green shoots; rally de alivio."
2020-07-21,"UE aprueba Next Generation EU (750.000 M€)",BANK_ES,0.8,"Histórico respaldo fiscal; mejora confianza."
2020-08-04,"Explosión masiva en Beirut",BANK_ES,-0.3,"Shock humanitario; impacto de mercado moderado."
2020-09-24,"Segundas olas COVID en Europa",BANK_ES,-0.4,"Temor a nuevas restricciones."
2020-10-20,"BBVA negocia venta de filial USA",BBVA,0.5,"Desinversión que refuerza CET1."
2020-11-09,"Pfizer/BioNTech anuncian vacuna >90% eficacia",BANK_ES,0.9,"Rally histórico en bancos."
2020-11-16,"Moderna anuncia vacuna >94% eficacia",BANK_ES,0.8,"Confirmación del cambio de régimen."
2020-12-01,"Regulador permite retorno parcial de dividendos",BANK_ES,0.6,"Normalización y confianza en solvencia."
2020-12-27,"Inicio vacunación UE",BANK_ES,0.7,"Hito sanitario; visibilidad 2021."
